epoch,train_loss,val_loss,pck@20,lr
1,0.028624852796891087,0.02678224487059501,0.8270254135131836,0.001
2,0.025597757936230026,0.02483459720499368,0.8415567874908447,0.001
3,0.024204131745340817,0.023648464907539555,0.854366660118103,0.001
4,0.02307763110261011,0.02285500095815832,0.8607196807861328,0.001
5,0.02222134490727338,0.021906901009944805,0.8689051270484924,0.001
6,0.02141294152780141,0.021344798242309653,0.8735572695732117,0.001
7,0.020682530973729053,0.020824693267667792,0.8781435489654541,0.001
8,0.020166609820879606,0.020394919302863666,0.8824146389961243,0.001
9,0.01956969479800311,0.020206009824407765,0.8842713832855225,0.001
10,0.019107258541421254,0.019742831118419707,0.8888958692550659,0.001
11,0.01863000349994015,0.01940946449596153,0.8898830413818359,0.001
12,0.018147019700999568,0.01922691008632639,0.8901013135910034,0.001
13,0.017657458683722038,0.018971892519004316,0.8940675258636475,0.001
14,0.017235672391226465,0.018651672763252757,0.8976181745529175,0.001
15,0.01676093405600349,0.01858339103614073,0.896942675113678,0.0007
16,0.015687986478172336,0.017962445965059012,0.9003615975379944,0.0007
17,0.015157513377115019,0.01806050403399831,0.9036524295806885,0.0007
18,0.014824385441691054,0.01800318320367144,0.9026443958282471,0.0007
19,0.01444895213279418,0.017989734252655053,0.9035727381706238,0.0007
20,0.01394251835836734,0.01803785835233224,0.9041581749916077,0.0007
21,0.013608037665987996,0.01774097585946737,0.9040611982345581,0.0007
22,0.013227392420953051,0.017975863277081,0.906731903553009,0.0007
23,0.012908360160459901,0.017806411234743566,0.9054225087165833,0.0007
24,0.01256053401830785,0.017875578226632924,0.9080309271812439,0.0007
25,0.012223216770983248,0.017809056604570484,0.9088206887245178,0.0007
26,0.011875165232046138,0.01773755167020982,0.9093506932258606,0.0007
27,0.011606327666113725,0.017811866466000498,0.9085678458213806,0.0007
28,0.011363970041693074,0.01775380192636197,0.9077191948890686,0.0007
29,0.011149350606471747,0.017630771461102472,0.9106566309928894,0.0007
30,0.010810299310833216,0.01800404009650428,0.9079096913337708,0.00049
31,0.009895642349110948,0.01754896706192795,0.9122604727745056,0.00049
32,0.009521922279623084,0.017604518548188456,0.9141206741333008,0.00049
33,0.009379360031689566,0.017649503914542883,0.9149277806282043,0.00049
34,0.009131735558633197,0.01761714105060198,0.9130606055259705,0.00049
35,0.008860553935300233,0.017524533708435132,0.9154958724975586,0.00049
36,0.00866186149566994,0.01757850901843364,0.9136044383049011,0.00049
37,0.008496824720702564,0.01765038420546399,0.9151390790939331,0.00049
