epoch,train_loss,val_loss,pck@20,lr
1,0.02838470806318923,0.02650452694258248,0.8273059725761414,0.001
2,0.025388756715820318,0.024174866340757602,0.8435763716697693,0.001
3,0.023252768899102758,0.022452786486907548,0.8571552038192749,0.001
4,0.021644846695542633,0.021176403484852665,0.874187707901001,0.001
5,0.020511677285233638,0.02046577036714708,0.8777452707290649,0.001
6,0.019573358948019676,0.019510626635213652,0.8856118321418762,0.001
7,0.01868996640709124,0.0188225429705474,0.8898172378540039,0.001
8,0.018043375702718845,0.018262607976794243,0.8962880373001099,0.001
9,0.017446955868932523,0.018282351258444598,0.895470380783081,0.001
10,0.01692684133237511,0.017682459340820394,0.9002335071563721,0.001
11,0.01639776963629107,0.01750718000385747,0.9039087295532227,0.001
12,0.015935454941226956,0.017260276616005547,0.9066279530525208,0.001
13,0.015575978359174996,0.016973631319207736,0.9103274941444397,0.001
